time;PV Erzeugung [W];PV Erzeugung [kW];G(i);H_sun;T2m;WS10m;Int
20210420:0010;0;0;0;0;6,4;1,03;0
20210420:0110;0;0;0;0;5,94;1,03;0
20210420:0210;0;0;0;0;5,83;0,9;0
20210420:0310;0;0;0;0;5,21;0,83;0
20210420:0410;0;0;0;0;4,47;0,9;0
20210420:0510;14,34;0,01434;28,78;5,78;3,65;0,97;0
20210420:0610;141,32;0,14132;201,99;15,18;5,38;0,41;0
20210420:0710;358,3;0,3583;439,26;24,56;8,52;0,69;0
20210420:0810;537,96;0,53796;663,48;33,48;10,84;0,55;0
20210420:0910;675,24;0,67524;870,24;41,35;12,46;0,07;0
20210420:1010;746,92;0,74692;979,31;47,33;13,57;0,34;0
20210420:1110;767,46;0,76746;1017,71;50,38;14,35;0,34;0
20210420:1210;641,87;0,64187;825,78;49,77;14,5;0,48;0
20210420:1310;432,19;0,43219;538,28;45,65;14,72;0,76;0
20210420:1410;364,51;0,36451;451,38;38,95;15,01;1,1;0
20210420:1510;422,74;0,42274;525,3;30,66;15,06;1,24;0
20210420:1610;241,97;0,24197;319,89;21,53;14,93;1,38;0
20210420:1710;55,1;0,0551;97,77;12,1;14,34;0,97;0
20210420:1810;0;0;5,08;2,78;13,38;1,03;0
20210420:1910;0;0;0;0;11,25;2,07;0
20210420:2010;0;0;0;0;9,75;1,79;0
20210420:2110;0;0;0;0;8,41;1,45;0
20210420:2210;0;0;0;0;9,12;0,97;0
20210420:2310;0;0;0;0;8,99;0,55;0
20210421:0010;0;0;0;0;8,46;0,41;0
20210421:0110;0;0;0;0;7,94;0,41;0
20210421:0210;0;0;0;0;7,58;0,41;0
20210421:0310;0;0;0;0;7,32;0,34;0
20210421:0410;0;0;0;0;7,11;0,28;0
20210421:0510;15,95;0,01595;31,32;6,08;6,9;0,21;0
20210421:0610;99,26;0,09926;137,07;15,47;7,67;0,28;0
20210421:0710;48,58;0,04858;72,75;24,86;9,55;0,41;0
20210421:0810;79,64;0,07964;110,04;33,79;11,07;0,83;0
20210421:0910;160,47;0,16047;205,13;41,68;12,66;1,17;0
20210421:1010;453,66;0,45366;557,6;47,67;14,04;1,79;0
20210421:1110;485,63;0,48563;597,51;50,73;14,93;2,41;0
20210421:1210;644,37;0,64437;802,07;50,09;15,41;2,76;0
20210421:1310;410,57;0,41057;502,61;45,95;15,64;3,17;0
20210421:1410;517,92;0,51792;631,08;39,21;15,51;3,66;0
20210421:1510;342,73;0,34273;418,14;30,9;14,93;4,07;0
20210421:1610;178,98;0,17898;231,98;21,76;14,39;4,14;0
20210421:1710;58,91;0,05891;97,93;12,33;13,35;4;0
20210421:1810;0,42;0,00042;6,77;3,02;11,78;4,07;0
20210421:1910;0;0;0;0;10,48;4,21;0
20210421:2010;0;0;0;0;9,25;4,07;0
20210421:2110;0;0;0;0;7,85;3,86;0
20210421:2210;0;0;0;0;6,62;3,66;0
20210421:2310;0;0;0;0;5,39;3,1;0
20210422:0010;0;0;0;0;4,45;2,62;0
20210422:0110;0;0;0;0;3,44;2,41;0
20210422:0210;0;0;0;0;2,82;2,28;0
20210422:0310;0;0;0;0;2,38;2,21;0
20210422:0410;0;0;0;0;1,97;2,14;0
20210422:0510;15,14;0,01514;29,63;6,38;1,67;2,07;0
20210422:0610;152,89;0,15289;213,26;15,77;3;2;0
20210422:0710;372,15;0,37215;441,07;25,15;4,19;2,28;0
20210422:0810;487,83;0,48783;568,53;34,09;5,78;3,24;0
20210422:0910;703,06;0,70306;836,86;42;6,68;2,97;0
20210422:1010;805,09;0,80509;978,53;48,01;7,68;2,9;0
20210422:1110;869,59;0,86959;1070,2;51,07;8,48;3,03;0
20210422:1210;883,73;0,88373;1087,09;50,42;8,9;3,31;0
20210422:1310;789,71;0,78971;957,26;46,24;9,23;3,45;0
20210422:1410;668,07;0,66807;799,28;39,47;9,46;3,38;0
20210422:1510;485,25;0,48525;578,71;31,14;9,65;3,31;0
20210422:1610;257,83;0,25783;328,99;21,98;9,47;3,31;0
20210422:1710;56,83;0,05683;104,27;12,55;9,47;3,17;0
20210422:1810;2,02;0,00202;10,16;3,25;8,8;2,28;0
20210422:1910;0;0;0;0;7,76;2,28;0
20210422:2010;0;0;0;0;6,52;2,34;0
20210422:2110;0;0;0;0;5,47;2,41;0
20210422:2210;0;0;0;0;4,58;2,34;0
20210422:2310;0;0;0;0;3,74;2,14;0
20210423:0010;0;0;0;0;2,93;1,93;0
20210423:0110;0;0;0;0;2,06;1,72;0
20210423:0210;0;0;0;0;1,48;1,52;0
20210423:0310;0;0;0;0;1,36;1,38;0
20210423:0410;0;0;0;0;1,22;1,31;0
20210423:0510;14,54;0,01454;28,78;6,67;1,13;1,24;0
20210423:0610;156,39;0,15639;218,63;16,05;3,04;0,97;0
20210423:0710;391,43;0,39143;468,68;25,44;5,08;1,52;0
20210423:0810;579,4;0,5794;686,07;34,39;6,52;2,28;0
20210423:0910;741,78;0,74178;900,48;42,31;7,44;2,14;0
20210423:1010;833,97;0,83397;1036,13;48,34;8,14;2;0
20210423:1110;876,54;0,87654;1108,14;51,4;9,38;1,93;0
20210423:1210;860,01;0,86001;1085,75;50,74;10,3;2,07;0
20210423:1310;777,83;0,77783;967,42;46,53;10,94;2,21;0
20210423:1410;656,81;0,65681;803,64;39,73;11,37;2,21;0
20210423:1510;478,15;0,47815;580,45;31,37;11,52;2,21;0
20210423:1610;260,78;0,26078;337,49;22,21;11,33;2,14;0
20210423:1710;55,05;0,05505;105,1;12,78;10,88;2,07;0
20210423:1810;2,89;0,00289;11,85;3,48;9,91;1,72;0
20210423:1910;0;0;0;0;8,68;2,07;0
20210423:2010;0;0;0;0;7,12;1,93;0
20210423:2110;0;0;0;0;5,59;1,93;0
20210423:2210;0;0;0;0;4,28;1,93;0
20210423:2310;0;0;0;0;3,36;2;0
20210424:0010;0;0;0;0;2,75;2,14;0
20210424:0110;0;0;0;0;2,26;2,14;0
20210424:0210;0;0;0;0;1,78;2;0
20210424:0310;0;0;0;0;1,29;1,86;0
20210424:0410;0;0;0;0;1;1,59;0
20210424:0510;21,06;0,02106;37,25;6,95;1,07;1,38;0
20210424:0610;112,71;0,11271;149,59;16,34;2,85;1,17;0
20210424:0710;322,03;0,32203;384,97;25,73;5,73;1,93;0
20210424:0810;553,32;0,55332;658,08;34,69;7,32;2,07;0
20210424:0910;697,46;0,69746;846,73;42,62;8,72;2,21;0
20210424:1010;792,71;0,79271;980,36;48,67;9,85;2,41;0
20210424:1110;816,93;0,81693;1015,11;51,74;10,78;2,76;0
20210424:1210;802,55;0,80255;995,23;51,06;11,46;2,97;0
20210424:1310;788,31;0,78831;975,01;46,81;12,04;3,03;0
20210424:1410;647,97;0,64797;787,11;39,99;12,38;3,17;0
20210424:1510;458,55;0,45855;553,64;31,61;12,44;3,38;0
20210424:1610;201,25;0,20125;257,32;22,43;12,08;3,38;0
20210424:1710;63,12;0,06312;105,16;13;11,47;2,97;0
20210424:1810;2,43;0,00243;11,01;3,71;10,26;2,48;0
20210424:1910;0;0;0;0;8,57;2,83;0
20210424:2010;0;0;0;0;7,53;2,83;0
20210424:2110;0;0;0;0;6,58;2,69;0
20210424:2210;0;0;0;0;5,68;2,76;0
20210424:2310;0;0;0;0;4,83;3,03;0
20210425:0010;0;0;0;0;3,97;3,03;0
20210425:0110;0;0;0;0;3,12;2,83;0
20210425:0210;0;0;0;0;2,34;2,62;0
20210425:0310;0;0;0;0;1,61;2,41;0
20210425:0410;0;0;0;0;1,01;2,48;0
20210425:0510;17,13;0,01713;32,17;7,24;0,92;2,48;0
20210425:0610;134,77;0,13477;178,05;16,62;2,12;2,69;0
20210425:0710;178,38;0,17838;216,78;26,01;4,17;3,17;0
20210425:0810;579,85;0,57985;676,67;34,98;5,5;3,31;0
20210425:0910;752,91;0,75291;897,47;42,93;6,57;3,24;0
20210425:1010;852,8;0,8528;1037,15;48,99;7,53;3,24;0
20210425:1110;894,72;0,89472;1101,79;52,07;8,49;3,24;0
20210425:1210;867,53;0,86753;1067,96;51,37;9,24;3,24;0
20210425:1310;797,91;0,79791;973,88;47,1;9,82;3,24;0
20210425:1410;657,89;0,65789;790,42;40,24;10,16;3,24;0
20210425:1510;483,14;0,48314;577,51;31,84;10,19;3,38;0
20210425:1610;250,06;0,25006;318,48;22,66;10;3,45;0
20210425:1710;59,82;0,05982;108,33;13,22;9,52;3,24;0
20210425:1810;4,88;0,00488;15,24;3,94;8,54;2,48;0
20210425:1910;0;0;0;0;7,3;2,55;0
20210425:2010;0;0;0;0;6,07;2,69;0
20210425:2110;0;0;0;0;5,18;2,62;0
20210425:2210;0;0;0;0;4,4;2,28;0
20210425:2310;0;0;0;0;3,46;2,21;0
20210426:0010;0;0;0;0;2,72;2,28;0
20210426:0110;0;0;0;0;1,99;2,21;0
20210426:0210;0;0;0;0;1,25;2,14;0
20210426:0310;0;0;0;0;0,53;2;0
20210426:0410;0;0;0;0;-0,1;2;0
20210426:0510;17,22;0,01722;32,17;7,51;-0,14;1,79;0
20210426:0610;165,31;0,16531;228,53;16,89;2,77;1,45;0
20210426:0710;397,52;0,39752;477,2;26,29;6,11;1,72;0
20210426:0810;591;0,591;706,49;35,27;7,89;2,14;0
20210426:0910;736;0,736;896,59;43,24;9,2;2,48;0
20210426:1010;824,05;0,82405;1028,9;49,31;10,26;2,28;0
20210426:1110;870,96;0,87096;1106,1;52,39;11,12;2,14;0
20210426:1210;847,23;0,84723;1076,81;51,68;11,87;2,07;0
20210426:1310;773,43;0,77343;970,27;47,38;12,41;2,14;0
20210426:1410;652,16;0,65216;802,7;40,49;12,76;2,28;0
20210426:1510;477,92;0,47792;582,99;32,07;12,86;2,41;0
20210426:1610;259,05;0,25905;336,37;22,88;12,64;2,55;0
20210426:1710;59,02;0,05902;109,54;13,44;12,09;2,41;0
20210426:1810;6,36;0,00636;17,78;4,17;10,85;2;0
20210426:1910;0;0;0;0;9,25;2,48;0
20210426:2010;0;0;0;0;8,1;2,48;0
20210426:2110;0;0;0;0;6,92;2,28;0
20210426:2210;0;0;0;0;5,67;2,14;0
20210426:2310;0;0;0;0;4,72;2,21;0
20210427:0010;0;0;0;0;4,4;2,62;0
20210427:0110;0;0;0;0;4,22;2,83;0
20210427:0210;0;0;0;0;3,97;2,76;0
20210427:0310;0;0;0;0;3,53;2,69;0
20210427:0410;0;0;0;0;3,08;2,69;0
20210427:0510;18,89;0,01889;34,71;7,79;3,03;2,62;0
20210427:0610;164,05;0,16405;227,73;17,16;4,55;2,28;0
20210427:0710;393,03;0,39303;469,35;26,56;6,82;2,9;0
20210427:0810;584,45;0,58445;693,52;35,55;8,43;3,03;0
20210427:0910;734,91;0,73491;894,24;43,53;9,82;2,76;0
20210427:1010;790,45;0,79045;982,86;49,63;11,16;2,48;0
20210427:1110;853,69;0,85369;1083,84;52,72;12,19;2,28;0
20210427:1210;830,68;0,83068;1055,97;51,99;12,98;2,21;0
20210427:1310;724,47;0,72447;909,86;47,65;13,55;2;0
20210427:1410;640,15;0,64015;795,13;40,74;13,93;1,93;0
20210427:1510;463,52;0,46352;571,52;32,3;14,06;1,79;0
20210427:1610;257,05;0,25705;338,02;23,09;14;1,59;0
20210427:1710;55,93;0,05593;108,97;13,66;13,67;1,17;0
20210427:1810;6,82;0,00682;18,62;4,39;12,6;0,41;0
20210427:1910;0;0;0;0;10,59;2;0
20210427:2010;0;0;0;0;8,34;2,07;0
20210427:2110;0;0;0;0;6,62;1,93;0
20210427:2210;0;0;0;0;5,5;2,14;0
20210427:2310;0;0;0;0;4,97;2,48;0
20210428:0010;0;0;0;0;4,53;2,48;0
20210428:0110;0;0;0;0;3,89;2,34;0
20210428:0210;0;0;0;0;3,22;2,21;0
20210428:0310;0;0;0;0;2,67;2,21;0
20210428:0410;0;0;0;0;2,22;2,14;0
20210428:0510;20,93;0,02093;37,25;8,06;2,33;2;0
20210428:0610;162,07;0,16207;225,04;17,43;5,47;1,59;0
20210428:0710;379,1;0,3791;461,7;26,83;9,62;1,86;0
20210428:0810;566,99;0,56699;689,82;35,83;11,91;2,14;0
20210428:0910;708,73;0,70873;884,44;43,83;13,76;2,21;0
20210428:1010;798,97;0,79897;1020,65;49,94;15,24;2,28;0
20210428:1110;834,32;0,83432;1077,89;53,03;16,38;2,41;0
20210428:1210;809,07;0,80907;1043,17;52,29;17,11;2,48;0
20210428:1310;674,02;0,67402;855,7;47,93;17,61;2,28;0
20210428:1410;459,34;0,45934;573,24;40,98;17,83;2;0
20210428:1510;125,55;0,12555;167,84;32,52;17,77;1,66;0
20210428:1610;20,01;0,02001;38,19;23,31;17,53;1,24;0
20210428:1710;34,67;0,03467;57,29;13,87;16,41;0,62;0
20210428:1810;2,78;0,00278;11,85;4,61;15,57;1,59;0
20210428:1910;0;0;0;0;13,85;3,03;0
20210428:2010;0;0;0;0;12,63;3,72;0
20210428:2110;0;0;0;0;11,59;3,52;0
20210428:2210;0;0;0;0;10,83;3,17;0
20210428:2310;0;0;0;0;10,3;2,69;0
20210429:0010;0;0;0;0;10,09;2,48;0
20210429:0110;0;0;0;0;9,48;2,41;0
20210429:0210;0;0;0;0;9,04;2,41;0
20210429:0310;0;0;0;0;9,06;2,48;0
20210429:0410;0;0;0;0;8,95;2,97;0
20210429:0510;27,58;0,02758;46,71;8,32;8,79;3,59;0
20210429:0610;124,26;0,12426;167,04;17,69;9,32;4,07;0
20210429:0710;352,54;0,35254;425,94;27,09;10,51;3,86;0
20210429:0810;293,14;0,29314;352,49;36,1;11,42;4,83;0
20210429:0910;259,11;0,25911;314,69;44,12;11,98;5,31;0
20210429:1010;359,35;0,35935;429,64;50,25;12,15;5,93;0
20210429:1110;61,2;0,0612;88,21;53,35;12,15;6,62;0
20210429:1210;384,55;0,38455;457,16;52,59;11,63;6,55;0
20210429:1310;198,02;0,19802;243,7;48,2;11,03;7,24;0
20210429:1410;71,04;0,07104;99,12;41,23;10,58;7,03;0
20210429:1510;86,15;0,08615;116,4;32,75;10,13;6,41;0
20210429:1610;59,54;0,05954;85,48;23,52;9,86;6;0
20210429:1710;41,46;0,04146;64,03;14,09;9,3;5,59;0
20210429:1810;1,19;0,00119;8,47;4,84;8,61;4,97;0
20210429:1910;0;0;0;0;7,29;4,07;0
20210429:2010;0;0;0;0;6,88;3,86;0
20210429:2110;0;0;0;0;6,21;3,72;0
20210429:2210;0;0;0;0;5,55;3,66;0
20210429:2310;0;0;0;0;5,28;3,24;0
20210430:0010;0;0;0;0;4,73;2,83;0
20210430:0110;0;0;0;0;4,41;2,76;0
20210430:0210;0;0;0;0;4,29;2,62;0
20210430:0310;0;0;0;0;4,47;2,41;0
20210430:0410;0;0;0;0;4,54;2,48;0
20210430:0510;2,48;0,00248;10,91;8,58;4,69;2,34;0
20210430:0610;15,15;0,01515;30,01;17,94;5;2,14;0
20210430:0710;29,29;0,02929;48,2;27,35;5,39;2,34;0
20210430:0810;63,68;0,06368;89,12;36,37;5,74;2,07;0
20210430:0910;133,93;0,13393;169,15;44,4;6,21;1,86;0
20210430:1010;118,27;0,11827;151,87;50,55;6,82;1,86;0
20210430:1110;371,57;0,37157;444,01;53,66;7,36;1,52;0
20210430:1210;200,94;0,20094;246,91;52,89;7,8;1,45;0
20210430:1310;357,27;0,35727;429,17;48,47;8,41;1,38;0
20210430:1410;383,05;0,38305;460,54;41,47;8,74;1,17;0
20210430:1510;422,82;0,42282;512,79;32,97;9,3;0,97;0
20210430:1610;207,85;0,20785;264,46;23,74;9,5;0,97;0
20210430:1710;70,15;0,07015;103,8;14,3;9,52;1,1;0
20210430:1810;0;0;3,39;5,06;9,2;0,97;0
20210430:1910;0;0;0;0;8,88;0,83;0
20210430:2010;0;0;0;0;7,73;1,31;0
20210430:2110;0;0;0;0;7,41;1,72;0
20210430:2210;0;0;0;0;6,98;1,66;0
20210430:2310;0;0;0;0;6,66;1,45;0
20210501:0010;0;0;0;0;6,4;1,52;0
20210501:0110;0;0;0;0;6,08;1,66;0
20210501:0210;0;0;0;0;5,45;1,72;0
20210501:0310;0;0;0;0;4,69;1,72;0
20210501:0410;0;0;0;0;3,74;1,72;0
20210501:0510;28,95;0,02895;47,56;8,84;3,28;1,38;0
20210501:0610;144,01;0,14401;190,55;18,2;4,8;1,79;0
20210501:0710;285,93;0,28593;341,7;27,61;6,33;2,76;0
20210501:0810;421,58;0,42158;497,26;36,64;7,16;2,48;0
20210501:0910;583,53;0,58353;698,06;44,68;8,37;2,41;0
20210501:1010;691,65;0,69165;846,45;50,85;9,11;2;0
20210501:1110;699,05;0,69905;863,35;53,97;9,98;1,86;0
20210501:1210;658,07;0,65807;809,72;53,18;10,77;2;0
20210501:1310;483,32;0,48332;584,87;48,73;11,38;2,28;0
20210501:1410;392,54;0,39254;473,2;41,7;11,57;2,55;0
20210501:1510;269,95;0,26995;329,5;33,19;11,79;2,83;0
20210501:1610;155,5;0,1555;199,51;23,95;11,46;2,83;0
20210501:1710;41,78;0,04178;64,93;14,51;10,93;2,55;0
20210501:1810;0;0;4,23;5,27;10,12;2,34;0
20210501:1910;0;0;0;0;8,88;2,07;0
20210501:2010;0;0;0;0;7,98;2;0
20210501:2110;0;0;0;0;7,22;2,21;0
20210501:2210;0;0;0;0;6,93;2,48;0
20210501:2310;0;0;0;0;6,42;2,83;0
20210502:0010;0;0;0;0;5,67;2,55;0
20210502:0110;0;0;0;0;4,86;2,28;0
20210502:0210;0;0;0;0;4,16;2,28;0
20210502:0310;0;0;0;0;3,93;2,34;0
20210502:0410;0;0;0;0;4,07;2,69;0
20210502:0510;16,57;0,01657;31,83;9,09;4,52;4,07;0
20210502:0610;83,8;0,0838;112,35;18,44;5,03;4,21;0
20210502:0710;108,16;0,10816;139,36;27,86;5,86;4,21;0
20210502:0810;309,56;0,30956;364,72;36,89;7,03;4,34;0
20210502:0910;184,69;0,18469;226,4;44,96;7,76;4,34;0
20210502:1010;295,43;0,29543;352,29;51,14;8,5;4,28;0
20210502:1110;118,35;0,11835;152,78;54,27;9,11;4,41;0
20210502:1210;114,83;0,11483;149,14;53,47;9,72;4,55;0
20210502:1310;163,02;0,16302;204,61;48,99;10,59;4,34;0
20210502:1410;235,17;0,23517;286,91;41,94;10,95;4,21;0
20210502:1510;441,77;0,44177;527,16;33,4;10,84;4,14;0
20210502:1610;131,88;0,13188;169,12;24,16;9,29;4,41;0
20210502:1710;73,83;0,07383;107,13;14,72;8,43;4,14;0
20210502:1810;0,45;0,00045;6,77;5,49;7,74;2,97;0
20210502:1910;0;0;0;0;7,37;2,14;0
20210502:2010;0;0;0;0;6,23;2,14;0
20210502:2110;0;0;0;0;5,28;2,14;0
20210502:2210;0;0;0;0;4,56;2,07;0
20210502:2310;0;0;0;0;3,64;2;0
20210503:0010;0;0;0;0;2,68;1,86;0
20210503:0110;0;0;0;0;1,66;1,79;0
20210503:0210;0;0;0;0;0,95;1,66;0
20210503:0310;0;0;0;0;0,49;1,66;0
20210503:0410;0;0;0;0;-0,04;1,79;0
20210503:0510;7,04;0,00704;18,19;9,33;0,4;1,79;0
20210503:0610;128,68;0,12868;167,58;18,68;3,86;1,79;0
20210503:0710;393,55;0,39355;470,79;28,1;6,62;2,28;0
20210503:0810;580,87;0,58087;691,09;37,15;8,47;2,76;0
20210503:0910;657,67;0,65767;790,6;45,22;10,04;3,31;0
20210503:1010;280,34;0,28034;339,13;51,43;11,03;4,14;0
20210503:1110;290,27;0,29027;351,5;54,56;11,65;4,34;0
20210503:1210;462,93;0,46293;555,4;53,76;12,34;4,34;0
20210503:1310;443,8;0,4438;532,95;49,25;12,93;4,48;0
20210503:1410;310,34;0,31034;375,55;42,17;12,9;4,55;0
20210503:1510;242,09;0,24209;297,11;33,62;12,64;4,14;0
20210503:1610;92,06;0,09206;124,55;24,36;12,13;4,28;0
20210503:1710;73,43;0,07343;107,92;14,93;11,53;3,72;0
20210503:1810;6,9;0,0069;18,62;5,7;10,71;3,17;0
20210503:1910;0;0;0;0;9,72;3,1;0
20210503:2010;0;0;0;0;8,84;3,45;0
20210503:2110;0;0;0;0;8,44;4,21;0
20210503:2210;0;0;0;0;8,71;5,17;0
20210503:2310;0;0;0;0;9,26;5,72;0
20210504:0010;0;0;0;0;9,98;5,79;0
20210504:0110;0;0;0;0;10,58;6;0
20210504:0210;0;0;0;0;10,85;6,48;0
20210504:0310;0;0;0;0;10,62;6,83;0
20210504:0410;0;0;0;0;9,38;7,1;0
20210504:0510;27,26;0,02726;46,23;9,57;8,38;7,1;0
20210504:0610;87,18;0,08718;117,63;18,92;8,48;7,17;0
20210504:0710;23,09;0,02309;40,92;28,34;9,03;7,38;0
20210504:0810;76,21;0,07621;104,58;37,39;9,34;7,24;0
20210504:0910;288,87;0,28887;343,59;45,49;9,74;7,66;0
20210504:1010;231,11;0,23111;279,71;51,71;10,44;9,03;0
20210504:1110;83,4;0,0834;113,67;54,86;11,44;9,66;0
20210504:1210;469,56;0,46956;553,06;54,04;12,28;9,52;0
20210504:1310;646,19;0,64619;765,6;49,51;13,36;8,41;0
20210504:1410;138,87;0,13887;178,24;42,4;13,07;8,21;0
20210504:1510;443,59;0,44359;524,26;33,83;11,88;8;0
20210504:1610;245,14;0,24514;310,81;24,57;12,07;7,52;0
20210504:1710;76,49;0,07649;115,44;15,13;11,83;7,31;0
20210504:1810;14,38;0,01438;29,63;5,92;11,46;6,07;0
20210504:1910;0;0;0;0;9,7;5,45;0
20210504:2010;0;0;0;0;8,67;5,1;0
20210504:2110;0;0;0;0;8,03;5,17;0
20210504:2210;0;0;0;0;7,45;4,97;0
20210504:2310;0;0;0;0;6,97;4,76;0
20210505:0010;0;0;0;0;6,53;4,62;0
20210505:0110;0;0;0;0;6,07;4,41;0
20210505:0210;0;0;0;0;5,68;4,28;0
20210505:0310;0;0;0;0;5,51;4,21;0
20210505:0410;0;0;0;0;5,36;4,41;0
20210505:0510;36,7;0,0367;57,87;9,81;5,39;4,83;0
20210505:0610;161,09;0,16109;212,02;19,15;5,5;5,24;0
20210505:0710;59,07;0,05907;83,66;28,57;6,05;5,45;0
20210505:0810;263,12;0,26312;310,54;37,64;6,12;5,79;0
20210505:0910;131,54;0,13154;164,6;45,75;5,15;6,21;0
20210505:1010;383,87;0,38387;447,99;51,99;6,79;5,45;0
20210505:1110;406,8;0,4068;476,76;55,14;8,35;6,07;0
20210505:1210;338,13;0,33813;399,99;54,31;9,34;6,55;0
20210505:1310;188;0,188;231,38;49,76;9,89;6,83;0
20210505:1410;354,2;0,3542;418,64;42,62;10,2;6,62;0
20210505:1510;109,84;0,10984;143,68;34,04;10,42;5,93;0
20210505:1610;80,01;0,08001;109,13;24,77;9,39;5,03;0
20210505:1710;57,9;0,0579;84,1;15,33;8,79;3,66;0
20210505:1810;14,04;0,01404;28,78;6,13;7,74;2,55;0
20210505:1910;0;0;0;0;7,19;2,97;0
20210505:2010;0;0;0;0;6,22;2,69;0
20210505:2110;0;0;0;0;5,3;2,97;0
20210505:2210;0;0;0;0;4,73;3,03;0
20210505:2310;0;0;0;0;4,55;2,97;0
20210506:0010;0;0;0;0;4,24;3,1;0
20210506:0110;0;0;0;0;4,13;3,31;0
20210506:0210;0;0;0;0;4,09;3,52;0
20210506:0310;0;0;0;0;4,31;3,72;0
20210506:0410;0;0;0;0;4,35;3,86;0
20210506:0510;37,59;0,03759;58,9;10,04;4,81;3,93;0
20210506:0610;112,07;0,11207;146,2;19,38;5,32;3,17;0
20210506:0710;340,41;0,34041;401,85;28,8;5,54;3,72;0
20210506:0810;370,02;0,37002;432,9;37,87;6,69;4,07;0
20210506:0910;508,36;0,50836;599,73;46;7,86;3,31;0
20210506:1010;416,12;0,41612;496,38;52,26;8,97;2,62;0
20210506:1110;162,88;0,16288;204,61;55,43;9,93;2,62;0
20210506:1210;325,6;0,3256;393,26;54,59;10,39;2,48;0
20210506:1310;379,8;0,3798;457,77;50;10,52;2,21;0
20210506:1410;167,77;0,16777;211,3;42,85;10,61;1,79;0
20210506:1510;104,48;0,10448;138,23;34,25;10;1,31;0
20210506:1610;27,97;0,02797;47,29;24,97;9,14;0,76;0
20210506:1710;68,4;0,0684;97,79;15,54;8,61;0,69;0
20210506:1810;8,68;0,00868;21,16;6,34;8,11;0,9;0
20210506:1910;0;0;0;0;6,95;1,38;0
20210506:2010;0;0;0;0;6,53;1,72;0
20210506:2110;0;0;0;0;6,22;2,14;0
20210506:2210;0;0;0;0;5,84;2,48;0
20210506:2310;0;0;0;0;5,53;2,62;0
20210507:0010;0;0;0;0;5,14;2,83;0
20210507:0110;0;0;0;0;4,67;3,1;0
20210507:0210;0;0;0;0;3,93;2,97;0
20210507:0310;0;0;0;0;3,26;2,69;0
20210507:0410;0;0;0;0;2,98;2,55;0
20210507:0510;27,32;0,02732;49,92;10,27;2,99;2,28;0
20210507:0610;25,12;0,02512;42,74;19,6;3,75;2,14;0
20210507:0710;141,11;0,14111;175,81;29,02;4,59;2,41;0
20210507:0810;82,39;0,08239;110,04;38,11;4,82;2,83;0
20210507:0910;205,89;0,20589;248,09;46,25;4,94;2,83;0
20210507:1010;436,4;0,4364;513,56;52,53;6,27;2,76;0
20210507:1110;445,38;0,44538;527,59;55,71;7,87;3,03;0
20210507:1210;499,01;0,49901;594,27;54,86;9,37;3,38;0
20210507:1310;738,05;0,73805;890,27;50,25;10,25;3,93;0
20210507:1410;397,47;0,39747;472,81;43,07;10,84;4,48;0
20210507:1510;328,12;0,32812;393,4;34,45;10,78;4,34;0
20210507:1610;235,18;0,23518;297,79;25,17;11,25;3,93;0
20210507:1710;77,11;0,07711;124,16;15,73;11,21;2,83;0
20210507:1810;18,17;0,01817;34,71;6,54;10,37;1,93;0
20210507:1910;0;0;0;0;8,95;1,93;0
20210507:2010;0;0;0;0;7,76;2;0
20210507:2110;0;0;0;0;6,83;1,86;0
20210507:2210;0;0;0;0;5,37;1,86;0
20210507:2310;0;0;0;0;3,86;1,66;0
20210508:0010;0;0;0;0;3,34;1,52;0
20210508:0110;0;0;0;0;2,11;1,86;0
20210508:0210;0;0;0;0;1,61;2;0
20210508:0310;0;0;0;0;1,37;2,14;0
20210508:0410;0;0;0,85;1,61;1,62;2,41;0
20210508:0510;23,94;0,02394;46,94;10,49;2,93;2,21;0
20210508:0610;168,14;0,16814;224,66;19,82;6,11;2,34;0
20210508:0710;119,52;0,11952;154,06;29,24;8,61;3,17;0
20210508:0810;234,11;0,23411;285,16;38,33;10,11;3,31;0
20210508:0910;465,36;0,46536;556,27;46,49;11,6;3,93;0
20210508:1010;647,43;0,64743;784,85;52,79;12,93;4,21;0
20210508:1110;345,93;0,34593;417,89;55,98;12,71;4,41;0
20210508:1210;447,51;0,44751;535,82;55,12;13,35;5,93;0
20210508:1310;133,58;0,13358;172,78;50,49;13,29;5,66;0
20210508:1410;236,35;0,23635;291,03;43,29;13,69;5,31;0
20210508:1510;143,71;0,14371;185,16;34,65;14,12;5,1;0
20210508:1610;200,36;0,20036;256,6;25,36;14,42;4,62;0
20210508:1710;68,18;0,06818;99,55;15,93;14,82;4;0
20210508:1810;8,36;0,00836;21,16;6,75;14,6;3,52;0
20210508:1910;0;0;0;0;14,55;3,17;0
20210508:2010;0;0;0;0;14,01;3,17;0
20210508:2110;0;0;0;0;12,88;3,31;0
20210508:2210;0;0;0;0;12,25;3,45;0
20210508:2310;0;0;0;0;11,59;3,52;0
20210509:0010;0;0;0;0;11,21;3,59;0
20210509:0110;0;0;0;0;10,91;3,59;0
20210509:0210;0;0;0;0;10,68;3,52;0
20210509:0310;0;0;0;0;10,49;3,45;0
20210509:0410;0;0;0,85;1,84;10,48;3,66;0
20210509:0510;22,35;0,02235;46,78;10,7;11,34;3,93;0
20210509:0610;172,64;0,17264;241,91;20,03;13,28;4,34;0
